village,month,dh28,dh31
Mandena,1,0.141394988131133,5.30458075232561e-05
Mandena,2,0.191976329277229,0
Mandena,3,0.0894426479588127,0
Mandena,4,0.00653199233003178,0
Mandena,5,4.27835752959285e-05,0
Mandena,6,0,0
Mandena,7,0,0
Mandena,8,0,0
Mandena,9,0,0
Mandena,10,0,0
Mandena,11,0.00172197559205976,0
Mandena,12,0.049777408433396,0
Sarahandrano,1,0.00626644391323729,0
Sarahandrano,2,0.00674957795816345,0
Sarahandrano,3,0.00406356443078308,0
Sarahandrano,4,0.000237921741120486,0
Sarahandrano,5,0,0
Sarahandrano,6,0,0
Sarahandrano,7,0,0
Sarahandrano,8,0,0
Sarahandrano,9,0,0
Sarahandrano,10,0,0
Sarahandrano,11,0,0
Sarahandrano,12,0.00140847743912065,0
