village,max_block70_h,N
Mandena,4,3
Mandena,6,18
Mandena,7,477
Mandena,8,2936
Mandena,9,1555
Mandena,10,1102
Mandena,11,1043
Mandena,12,839
Mandena,13,303
Mandena,14,362
Mandena,15,187
Mandena,16,3
Mandena,17,2
Mandena,18,2
Mandena,21,3
Mandena,24,7602
Sarahandrano,7,23
Sarahandrano,8,707
Sarahandrano,9,1031
Sarahandrano,10,1190
Sarahandrano,11,1369
Sarahandrano,12,1093
Sarahandrano,13,440
Sarahandrano,14,546
Sarahandrano,15,241
Sarahandrano,16,4
Sarahandrano,17,3
Sarahandrano,18,2
Sarahandrano,21,7
Sarahandrano,24,9781
