village,month,p05,p25,p50,p75,p95
Mandena,1,34.8430328394006,61.494419849135,82.5541750253724,92.2051977542162,94.6516409554276
Mandena,2,32.5820985623396,59.4753227155483,81.8701969610017,91.9173847142075,94.5299804547843
Mandena,3,39.8210226551191,63.4001667991978,83.2536262572789,92.5254206532474,94.6770153786838
Mandena,4,54.433956435343,73.0153770691108,88.5849161285008,94.716014207429,96.1124015202335
Mandena,5,74.4990868633535,85.5321635177155,94.5115440549107,97.5653217633459,98.2691968193393
Mandena,6,89.8519310940395,94.5658394223274,98.0515560834166,99.1766320737935,99.4321714290088
Mandena,7,94.2398819307597,96.9277477180184,98.8910853633764,99.5303042855538,99.6724717284076
Mandena,8,93.7691462009819,96.8308302411333,98.9017955012251,99.5341533569635,99.6847509692817
Mandena,9,90.4401920133341,95.3218837716285,98.2983147419089,99.335138690516,99.5616912062722
Mandena,10,79.6913609143727,89.7444315704812,95.9184936332677,98.1829887799815,98.7723066291817
Mandena,11,64.5418132454707,81.0291914981952,91.6593826767015,96.0543167042626,97.3399440838665
Mandena,12,45.2370199247183,68.7545646041032,85.8079502676521,93.3417996025596,95.3787281129894
Sarahandrano,1,51.4883704184476,76.1368563951123,90.5623944375583,95.953856870629,97.1737529361582
Sarahandrano,2,49.3976027173989,74.6008615667908,90.2115909206684,95.7946885035088,97.0849311130078
Sarahandrano,3,56.6437958972003,77.3790294904402,90.9108230752471,95.9351706886025,97.0370118601344
Sarahandrano,4,70.5979921051315,84.2575886772288,94.0438130787763,97.0651141312126,97.7950125974963
Sarahandrano,5,85.4367590868748,92.2345448342354,97.2590746634714,98.6750712731854,99.0535202744888
Sarahandrano,6,94.9900743394796,97.3808497459377,99.0656828697201,99.5617444290282,99.6957661810206
Sarahandrano,7,97.2859642300282,98.5694890998079,99.4728824689303,99.7514954407556,99.8265034165743
Sarahandrano,8,97.0545715507386,98.501126855564,99.4765338462556,99.7592689971992,99.8358321982401
Sarahandrano,9,95.1525730574438,97.6447243163108,99.1677105905138,99.6609787527558,99.7749190323285
Sarahandrano,10,88.3641396021729,94.3712401578338,97.8819450832894,99.086200104386,99.3776941341178
Sarahandrano,11,77.6361719732704,89.2094277748866,95.6014962890175,97.9739661779877,98.6101033606644
Sarahandrano,12,61.4607709642751,81.2624523824062,92.4362312479754,96.5353809064502,97.5508709298329
