village,year,work_all
Mandena,1980,86.807922635779
Mandena,1981,86.7143779169051
Mandena,1982,87.0718789627405
Mandena,1983,87.3858640699436
Mandena,1984,87.43030481053
Mandena,1985,87.5758694803665
Mandena,1986,86.9991967750807
Mandena,1987,87.6194118348611
Mandena,1988,87.1300276418832
Mandena,1989,88.0148294323103
Mandena,1990,87.1480500503652
Mandena,1991,86.5606742132862
Mandena,1992,87.9279381194067
Mandena,1993,87.097175034398
Mandena,1994,86.8779823057582
Mandena,1995,88.1561961072491
Mandena,1996,88.3411533777223
Mandena,1997,87.1899442219874
Mandena,1998,87.1902715582056
Mandena,1999,86.4377108560457
Mandena,2000,86.7213410762167
Mandena,2001,87.4258070837113
Mandena,2002,87.3045432158243
Mandena,2003,87.7544010469734
Mandena,2004,87.1321053288211
Mandena,2005,88.6637628400027
Mandena,2006,85.9800250989792
Mandena,2007,87.6551498949074
Mandena,2008,86.5455775880318
Mandena,2009,87.3565775494793
Mandena,2010,87.5280610451607
Mandena,2011,86.7709145712695
Mandena,2012,87.814108410057
Mandena,2013,87.5486318252542
Mandena,2014,87.0640427774083
Mandena,2015,87.2428573819014
Mandena,2016,87.0955580957549
Mandena,2017,86.51718804333
Mandena,2018,86.6796056142422
Mandena,2019,87.6428822753004
Mandena,2020,86.653978929875
Mandena,2021,87.8419385392768
Mandena,2022,87.5082234847377
Mandena,2023,85.7325200949525
Mandena,2024,86.1128939612407
Sarahandrano,1980,92.0554101432391
Sarahandrano,1981,91.9306063648136
Sarahandrano,1982,92.0959760892842
Sarahandrano,1983,92.2298697603582
Sarahandrano,1984,92.2392206843149
Sarahandrano,1985,92.4355283841792
Sarahandrano,1986,92.0699232953248
Sarahandrano,1987,92.4663856622816
Sarahandrano,1988,92.1500441464887
Sarahandrano,1989,92.7218548491358
Sarahandrano,1990,92.095633088866
Sarahandrano,1991,91.8100563235
Sarahandrano,1992,92.5348108075129
Sarahandrano,1993,92.0651255692021
Sarahandrano,1994,91.9222965187834
Sarahandrano,1995,92.7482826237932
Sarahandrano,1996,92.743254991099
Sarahandrano,1997,92.180575445533
Sarahandrano,1998,92.15934462425
Sarahandrano,1999,91.7506719162478
Sarahandrano,2000,91.9383204457402
Sarahandrano,2001,92.3217978761206
Sarahandrano,2002,92.1976151663202
Sarahandrano,2003,92.3907442794582
Sarahandrano,2004,92.1802396968811
Sarahandrano,2005,92.9920595075381
Sarahandrano,2006,91.3902167645697
Sarahandrano,2007,92.374226156628
Sarahandrano,2008,91.7687226349623
Sarahandrano,2009,92.2487840196375
Sarahandrano,2010,92.3623189519292
Sarahandrano,2011,92.0351285520341
Sarahandrano,2012,92.5124787095457
Sarahandrano,2013,92.3906616292961
Sarahandrano,2014,92.0965597655557
Sarahandrano,2015,92.2153065781441
Sarahandrano,2016,92.0361744421851
Sarahandrano,2017,91.845475573912
Sarahandrano,2018,91.9267455516203
Sarahandrano,2019,92.3904152204474
Sarahandrano,2020,91.7685848448293
Sarahandrano,2021,92.5429651294122
Sarahandrano,2022,92.2920513307223
Sarahandrano,2023,91.3727124092722
Sarahandrano,2024,91.5156883572667
