scheme,village,variable,slope_decade_lm,p_lm,tau_mk,p_mk,sens_slope_decade
idw4,Mandena,tmean_c,0.219494002692141,2.07150262533145e-08,0.517171717171717,5.76985511100719e-07,
idw4,Mandena,tmax_c,0.290211660397421,2.68518845108935e-10,0.573737373737374,2.91319190848632e-08,
idw4,Mandena,tmin_c,0.152900942601402,6.88842822356473e-05,0.393939393939394,0.000141619609279103,
idw4,Mandena,rh_mean,-0.458671234462807,3.22781926850346e-05,-0.414141414141414,6.30836807956548e-05,
idw4,Mandena,vpd_kpa,0.0207013730378631,6.0897958525586e-08,0.523232323232323,4.24879032707476e-07,
idw4,Mandena,ssrd_MJ_day,-3.69504874833593e-07,0.142134604274628,-0.141414141414141,0.17391144078262,
idw4,Mandena,wbgt28_h,0.601339481774265,3.64676171560801e-05,0.370554811082331,0.000404949753303185,
idw4,Mandena,wbgt31_h,0.000548967940272289,0.704904048942473,0.0479132978813391,0.728970195243336,
idw4,Mandena,hot35_h,0,,,,
idw4,Sarahandrano,tmean_c,0.204676071594585,6.60905936979954e-08,0.498989898989899,1.41639522716917e-06,
idw4,Sarahandrano,tmax_c,0.279434879227954,3.37421531672757e-10,0.567676767676768,4.06783055092667e-08,
idw4,Sarahandrano,tmin_c,0.134763848393475,0.000351154670860807,0.355555555555556,0.00059563511563025,
idw4,Sarahandrano,rh_mean,-0.365361007759915,7.47245265217374e-05,-0.381818181818182,0.000226081781636058,
idw4,Sarahandrano,vpd_kpa,0.0161119603424755,8.90903274157731e-08,0.505050505050505,1.05347323665801e-06,
idw4,Sarahandrano,ssrd_MJ_day,-1.24887897725314e-07,0.516860251285236,-0.0404040404040404,0.702824503197456,
idw4,Sarahandrano,wbgt28_h,0.0579710144927538,0.00165248210881185,0.309827112742426,0.00573583260202497,
idw4,Sarahandrano,wbgt31_h,0,,,,
idw4,Sarahandrano,hot35_h,0,,,,
nearest1,Mandena,tmean_c,0.219238685482101,2.15800181418325e-08,0.513131313131313,7.06253463572374e-07,
nearest1,Mandena,tmax_c,0.290095604981107,3.11704727348737e-10,0.573737373737374,2.91319190848632e-08,
nearest1,Mandena,tmin_c,0.151009171960592,9.31760005105476e-05,0.385858585858586,0.000193723411168827,
nearest1,Mandena,rh_mean,-0.451089206057026,3.83195564453683e-05,-0.406060606060606,8.75584368153224e-05,
nearest1,Mandena,vpd_kpa,0.020214050882292,7.56612102670678e-08,0.519191919191919,5.21225775812787e-07,
nearest1,Mandena,ssrd_MJ_day,-4.31379007465964e-07,0.139952800138465,-0.15959595959596,0.124581502145293,
nearest1,Mandena,wbgt28_h,0.572793148880107,3.57177524505676e-05,0.357997426110014,0.000609219232834323,
nearest1,Mandena,wbgt31_h,0.00120772946859904,0.550714188780578,0.075397311105661,0.563062863303578,
nearest1,Mandena,hot35_h,0,,,,
nearest1,Sarahandrano,tmean_c,0.219238685482101,2.15800181418325e-08,0.513131313131313,7.06253463572374e-07,
nearest1,Sarahandrano,tmax_c,0.290095604981107,3.11704727348737e-10,0.573737373737374,2.91319190848632e-08,
nearest1,Sarahandrano,tmin_c,0.151009171960592,9.31760005105476e-05,0.385858585858586,0.000193723411168827,
nearest1,Sarahandrano,rh_mean,-0.451089206057026,3.83195564453683e-05,-0.406060606060606,8.75584368153224e-05,
nearest1,Sarahandrano,vpd_kpa,0.020214050882292,7.56612102670678e-08,0.519191919191919,5.21225775812787e-07,
nearest1,Sarahandrano,ssrd_MJ_day,-4.31379007465964e-07,0.139952800138465,-0.15959595959596,0.124581502145293,
nearest1,Sarahandrano,wbgt28_h,0.572793148880107,3.57177524505676e-05,0.357997426110014,0.000609219232834323,
nearest1,Sarahandrano,wbgt31_h,0.00120772946859904,0.550714188780578,0.075397311105661,0.563062863303578,
nearest1,Sarahandrano,hot35_h,0,,,,
